
=== f32 ===
   l   r  len     gts_1     mrs_1   ratio   gts_ctx   mrs_ctx   ratio
  11  31  341     992.6     986.3   1.01x    1009.5     996.7   1.01x
  11  32  352     706.4     829.0   0.85x     728.1     841.4   0.87x
  13  16  208     435.4     504.4   0.86x     447.6     507.0   0.88x
  13  17  221     515.6     594.2   0.87x     524.9     597.9   0.88x
  13  19  247     583.0     675.8   0.86x     595.5     680.9   0.87x
  13  23  299     743.5     823.1   0.90x     761.5     830.7   0.92x
  13  24  312     637.3     744.6   0.86x     655.1     751.6   0.87x
  13  27  351    1538.8    1677.3   0.92x    1555.6    1698.3   0.92x
  13  29  377    1036.2    1083.3   0.96x    1050.7    1095.6   0.96x
  13  31  403    1183.1    1173.0   1.01x    1208.7    1186.2   1.02x
  13  32  416     848.6     995.0   0.85x     876.6    1008.5   0.87x
  16  17  272     589.9     688.7   0.86x     601.8     695.0   0.87x
  16  19  304     669.8     786.0   0.85x     683.1     804.0   0.85x
  16  23  368     869.7     967.3   0.90x     886.0     964.0   0.92x
  16  27  432    1846.7    2014.2   0.92x    1874.1    2015.8   0.93x
  16  29  464    1204.9    1253.5   0.96x    1230.7    1265.2   0.97x
  16  31  496    1388.9    1360.3   1.02x    1410.2    1373.7   1.03x
  17  19  323     790.2     906.8   0.87x     806.9     913.7   0.88x
  17  23  391    1000.8    1107.5   0.90x    1025.6    1118.5   0.92x
  17  24  408     881.6    1007.8   0.87x     903.7    1018.2   0.89x
  17  27  459    2067.4    2227.0   0.93x    2094.4    2232.8   0.94x
  17  29  493    1409.5    1452.0   0.97x    1434.0    1467.2   0.98x
  17  31  527    1599.7    1572.2   1.02x    1628.8    1588.8   1.03x
  17  32  544    1176.5    1349.4   0.87x    1202.6    1362.5   0.88x
  19  23  437    1158.4    1256.3   0.92x    1183.0    1269.3   0.93x
  19  24  456    1009.8    1144.5   0.88x    1038.2    1156.5   0.90x
  19  27  513    2343.0    2506.7   0.93x    2363.7    2525.5   0.94x
